type,id,lat,lon,tags.amenity,tags.name,tags.addr:city,tags.addr:housenumber,tags.addr:postcode,tags.addr:street,tags.emergency,tags.healthcare,tags.operator,tags.operator:type,tags.nat_ref,tags.official_name,tags.old_name,tags.public_transport,tags.railway,tags.railway:ref,tags.start_date,tags.train,tags.wikidata,tags.wikipedia,tags.check_date,tags.contact:email,tags.contact:fax,tags.contact:phone,tags.contact:website,tags.grades,tags.ref,tags.ref:qzp,tags.religion,tags.short_name,tags.access,tags.addr:housename,tags.source,tags.operating_times,tags.addr:floor,tags.opening_hours,tags.phone,tags.website,tags.toilets:wheelchair,tags.wheelchair,tags.email,tags.ele,tags.internet_access,tags.fax,tags.fixme,tags.healthcare:speciality,tags.mobile,tags.operator:ref,tags.addr:unit,tags.payment:cash,tags.payment:credit_cards,tags.payment:debit_cards
node,1057863627,41.6310993,-8.3580883,school,Escola de ingles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1251585380,41.5114746,-8.7726128,hospital,Hospital de Fão,Esposende,24,4740-325,Avenida Visconde de São Januário,no,hospital,Santa Casa da Misericórdia de Fão,religious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1274091477,41.4976368,-8.4962839,,Ruilhe,,,,,,,"Infraestruturas de Portugal, S.A.",,29074,Estação Ferroviária de Ruilhe,Ruílhe,station,station,RUI,1875-05-21,yes,Q13534639,pt:Apeadeiro de Ruilhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1353874673,41.5567575,-8.4196155,school,Instituto Britânico de Braga,,,,,,,,,,,,,,,,,,,2024-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1353887528,41.5643575,-8.4195136,school,Escola Profissional do Minho,Braga,"48, 54",4700-084,Avenida do Cávado,,,,private,,,,,,,,,,,,esprominhobraga@escolas.min-edu.pt,+351 253679246,+351 253679244,https://www.esprominho.pt/,12-17,803188,QZP.06,none,Esprominho,,,,,,,,,,,,,,,,,,,,,,
node,1353948829,41.55789,-8.419947,school,Centro Estudo Ocupação Tempos Livres,Braga,13,4700-382,Praça das Fontainhas,,,,,,,,,,,,,,,,,,,,,,,,C.E.O.T.L.,,,,,,,,,,,,,,,,,,,,,,
node,1355547508,41.552358,-8.4273073,school,Wall Street,,,,,,,,,,,,,,,,,,,2024-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1366175030,41.4068509,-8.5210723,school,Instituto de Línguas de Vila Nova de Famalicão - Instituto Britânico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1460615223,41.5597417,-8.4253053,school,Escola de Dança Apolo,São Vicente,400,4700-358,Avenida Doutor Artur Soares,,,,,,,,,,,,,,,2024-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1561804930,41.4974108,-8.7084302,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1642556052,41.5529409,-8.7884234,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1662661331,41.6820726,-8.0921277,hospital,Cruz Vermelha de Salamonde,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1936924487,41.4272429,-8.2988312,school,Centro de Estudos EdgarAllan Poe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,
node,1937003093,41.481046,-8.2627248,school,Mente Activa Centro de Estudos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,
node,2036138829,41.3724287,-8.4210475,school,Pré-Primaria,,30,4765-050,,,,,,,,,,,,,,,,,,,,,,,,,,,Rua Pedreira,,,,,,,,,,,,,,,,,,,,
node,2044729790,41.3701904,-8.426948,hospital,Pedologia B-Saúde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pedologia,,,,,,,,,,,,,,,,,,,
node,2044759109,41.3914827,-8.3883307,school,Externato Delfim Ferreira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2048214139,41.4202234,-8.300611,school,Centro de Estudos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2206196421,41.5607837,-8.3858243,school,SCHUMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2404232054,41.4103724,-8.5185937,school,Fameli - Centro de Inglês de Famalicão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2449165722,41.3935915,-8.3939296,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2486606006,41.5082107,-8.5819036,,Midões,,,,,,,"Infraestruturas de Portugal, S.A.",,06080,Estação Ferroviária de Midões,Estação Feroviária de São Bento;Apeadeiro de Midões,station,station,MID,1877-10-21,yes,Q8841050,pt:Apeadeiro de Midões,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,
node,2511478587,41.4237501,-8.0849845,school,Escola Primária do Rego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2629797260,41.5243723,-8.6205709,school,Centro de Explicações Kubo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2629797275,41.5244498,-8.6225506,school,Kubo International School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2633089058,41.426972,-8.3577182,school,Alma Branca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2741887400,41.5725616,-8.5970216,school,Escola Primaria Lijó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
